upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
8906021124690,Aachi Meat masala 100g,2.0600,2.9900,,,,,,,,185,,14,,,,,False,False,True,0,,,,,17.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1556,,,,,,,,,,
8906021125338,Aachi Idiyappam pwd 1kg,3.9680,5.4900,,,,,,,,174,,14,10,,,,False,False,True,0,,,,39.68,8.0000,Flour,,Vadilal,,,,,False,False,1,4,,,,,False,1557,,,,,,,,,,
8906021126311,Aachi Chili Chicken Msl 100g,3.4900,3.7900,,,,,,,,185,,,,,,,False,False,True,0,,,,,0.0000,Spice Mix,,,,,,,False,False,1,0,,,,,False,1558,,,,,,,,,,
8906021127387,Aachi Mutton Curry Masala 1kg,10.2000,14.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,10.0000,Spice Mix,,Vadilal,,,,,False,False,1,3,,,,,False,1559,,,,,,,,,,
8906021128384,Aachi Gobi Manchurian Mix 100g,1.6200,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,0.00,19.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1560,,,,,,,,,,
8906021128551,Aachi Madras Sambhar powder 100g,1.6200,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,,19.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1561,,,,,,,,,,
8906028555268,MDH Tandoori Bbq Masala 100g,1.8000,2.9900,,,,,,,,185,,,,,,,False,False,True,0,,,,,10.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1562,,,,False,,,,,,
8906032011019,Nutrela Soya mini chunks 200 gm,1.0000,2.7900,,,,,,,,206,,11,20,,,,False,False,True,,,,,20.00,8.0000,Instant Mixes,,TN Foods INC,,,,,False,False,1,5,,,,,False,1563,,,,,,,,,,
8906042150050,Anil Roasted short Vermicelli 180 gm,2.4800,3.4900,,,,,,,,184,,,,,,,False,False,True,,,,,,4.0000,Noodles & Vermicelli,,,,,,,False,False,1,1,,,,,False,1564,,,,,,,,,,
8906042150074,Anil Finger Millet (Ragi)Vermicelli180gm,2.4800,3.4900,,,,,,,,184,,,,,,,False,False,True,,,,,,2.0000,Noodles & Vermicelli,,,,,,,False,False,1,1,,,,,False,1565,,,,,,,,,,
